variant_id,stop_id
635600,1249
635600,27
635601,26
635601,3133
636930,638
636930,3124
636931,3123
636931,636
636932,638
636932,3124
636932,3431
636933,695
636933,3123
636933,636
636934,638
636934,3124
636934,3431
636935,695
636935,3123
636935,636
636936,638
636936,705
636937,706
636937,639
636938,706
636938,639
636939,638
636939,3124
636940,3123
636940,636
636941,638
636941,3124
636941,3431
636942,695
636942,3123
636942,636
636943,638
636943,3124
636943,3431
636944,695
636944,3123
636944,636
636945,638
636945,705
636946,706
636946,639
637325,1249
637325,27
637326,26
637326,3133
655610,638
655610,3124
655611,3123
655611,636
655612,638
655612,3124
655612,3431
655613,695
655613,3123
655613,636
655614,638
655614,3124
655614,3431
655615,695
655615,3123
655615,636
659656,1289
659656,2029
659656,637
659656,668
659656,2172
659656,675
659657,674
659657,3811
659657,667
659657,642
659657,636
659657,1176
659658,1289
659658,2029
659658,637
659658,668
659659,674
659659,3811
659660,667
659660,642
659660,636
659660,1176
659661,2172
659661,675
659662,1289
659662,2029
659662,637
659662,668
659662,2172
659662,675
659663,674
659663,3811
659663,667
659663,642
659663,636
659663,1176
659664,1289
659664,2029
659664,637
659664,668
659665,674
659665,3811
659666,667
659666,642
659666,636
659666,1176
659667,2172
659667,675
660339,3518
660339,449
660339,472
660339,3269
660339,3276
660339,3316
660340,3308
660340,26
660341,27
660341,3287
660341,3300
660342,3305
660342,3269
660342,471
660342,3514
660343,3518
660343,449
660343,472
660343,3269
660343,3304
660343,3276
660344,3305
660344,3274
660344,3269
660344,471
660344,3514
660345,515
660345,518
660345,27
660345,3287
660345,3313
660346,3280
660346,3308
660346,26
660347,3518
660347,449
660347,472
660347,3269
660347,3276
660347,3341
660347,3316
660348,3518
660348,449
660348,472
660348,3302
660348,3332
660352,3518
660352,449
660352,472
660352,3269
660352,3304
660352,3276
660354,3518
660354,449
660354,472
660354,3349
660355,471
660356,3270
660356,3305
660356,3274
660356,3269
660356,471
660356,3514
660357,515
660357,518
660357,27
660357,3287
660357,3313
660357,3300
660358,3300
660358,3280
660358,3308
660358,26
660359,515
660359,518
660359,27
660359,3287
660359,3313
660359,3300
660360,3322
660360,3280
660360,3308
660360,26
660361,3322
660361,3367
660361,3300
660361,3280
660361,3308
660361,26
660362,515
660362,518
660362,27
660362,3287
660362,3313
660364,3300
660364,3280
660364,3308
660364,26
660383,515
660383,518
660383,27
660383,3287
660383,3313
660384,3280
660384,3308
660384,26
660385,3518
660385,449
660385,472
660385,3269
660385,3276
660385,3316
660386,3308
660386,26
660387,3518
660387,449
660387,472
660387,3269
660387,3304
660387,3276
660388,3305
660388,3274
660388,3269
660388,471
660388,3514
660389,27
660389,3287
660389,3300
660390,3305
660390,3269
660390,471
660390,3514
660401,3518
660401,449
660401,472
660401,3302
660401,3332
660402,3518
660402,449
660402,472
660402,3349
660402,3276
660402,3316
660403,3518
660403,449
660403,472
660403,3349
660403,3304
660403,3276
660406,3518
660406,449
660406,472
660407,3518
660407,449
660407,472
660407,3349
660408,471
662592,616
662592,1248
662592,711
662592,2279
662592,3599
662592,3604
662593,3617
662593,3603
662593,3598
662593,3415
662593,2828
662593,1819
662594,616
662594,1248
662594,711
662594,2279
662594,3599
662594,3604
662594,3601
662594,3663
662594,1083
662595,1200
662595,3662
662595,3600
662595,3603
662595,3598
662595,3415
662595,2828
662595,1819
662596,711
662596,3422
662596,3607
662596,3641
662597,3640
662597,3608
662597,3415
662597,2828
662598,616
662598,1248
662598,711
662598,2279
662598,3599
662598,3604
662598,3601
662599,3600
662599,3603
662599,3598
662599,3415
662599,2828
662599,1819
662600,711
662600,3607
662600,3641
662600,3027
662601,3640
662601,3608
662601,3415
662601,2828
662602,3716
662602,3065
662602,1082
662602,3670
662602,3658
662602,3720
662602,3415
662603,728
662603,3244
662603,3720
662603,3657
662603,3669
662603,1702
662603,3709
662603,1081
662603,3064
662603,3717
662603,3674
662604,3420
662604,2782
662604,3640
662604,777
662604,2115
662605,2114
662605,2781
662605,3415
662606,3421
662606,2305
662606,3646
662606,3645
662606,3722
662606,3852
662607,3667
662607,1703
662607,3668
662607,1731
662607,3037
662607,3647
662607,2274
662607,3415
662608,3689
662608,1093
662608,3620
662608,3617
662608,3603
662608,3598
662608,3415
662608,2828
662608,1819
662609,3617
662609,3603
662609,3598
662609,3415
662609,2828
662609,1819
662610,3680
662610,3617
662610,3603
662610,3598
662610,3415
662610,2828
662610,1819
662611,1093
662611,3620
662611,3617
662611,3603
662611,3598
662611,3415
662611,2828
662611,1819
662612,1093
662612,3620
662612,3617
662612,3603
662612,3598
662612,3415
662612,2828
662612,1819
662613,3617
662613,3616
662613,3603
662613,3598
662613,3415
662613,2828
662613,1819
662614,3689
662614,1093
662614,3620
662614,3617
662614,3603
662614,3598
662614,3415
662614,2828
662615,3680
662615,3617
662615,3603
662615,3598
662615,3415
662615,2828
662616,3689
662616,1093
662616,3620
662616,3617
662616,3603
662616,3598
662617,3617
662617,3603
662617,3598
662617,3415
662618,2279
662618,3599
662618,3604
662618,3632
662619,616
